Technical name;Token ID
COMMUNITY;30445075292564686593691870616972164689607969335444017732098242266613409644544
CLASSIC;30439692091961178321720659417837286216746152196417938391906605645277339582464
REGULAR_T_REX;37212058354914247186367032944059187140494425877897922951464982085008189554688
REGULAR_TRICERATOPS;37212058354914247186365784421102821448183237368008866481460107142151282884608
REGULAR_DILOPHOSAURUS;37212058354914247185972604673933271066305164520008423932776408714000581263360
REGULAR_STEGOSAURUS;37212058354914247186341454563717017593833554979452384812277960744446495555584
REGULAR_VELOCIRAPTOR;37212058354914247186413580265743236261253975851112198312153508021586007949312
REGULAR_MAMMOTH;37212058354914247186192518155263499979584206258457623540423881984931734224896
REGULAR_SABRETOOTH_TIGER;37212058354914247186339633618848433501890605546866026163601763169601828421632
REGULAR_GORILLA;37212058354914247186046741381797415548104930839522238681562410860646668173312
REGULAR_HIPPO;37212058354914247186070685886580544662789603945758532427324733734723952574464
HOLOGRAPHIC_T_REX;32706632686181825619470921582093742334324617036145972854771339549877368520704
HOLOGRAPHIC_TRICERATOPS;32706632686181825619470921582093451639921069779819858908526972973446777012224
HOLOGRAPHIC_DILOPHOSAURUS;32706632686181825619470921582001907346315917639011084552727910202496239271936
HOLOGRAPHIC_STEGOSAURUS;32706632686181825619470921582087786903565926214519546459173113756265406791680
HOLOGRAPHIC_VELOCIRAPTOR;32706632686181825619470921582104579977192677915732132565826395593006905294848
HOLOGRAPHIC_MAMMOTH;32706632686181825619470921582053109943722198078655913396251006404355531210752
HOLOGRAPHIC_SABRETOOTH_TIGER;32706632686181825619470921582087362931800115569347418603094938243034165280768
HOLOGRAPHIC_GORILLA;32706632686181825619470921582019168643726305297012885160504602048297433038848
HOLOGRAPHIC_HIPPO;32706632686181825619470921582024743658186934408793826904428952932519468072960
REVERSE_HOLO_T_REX_NAKED;37212161450389560000442547061631732770512374587962623690289737076271076081664
REVERSE_HOLO_T_REX;37212161450389560000442547061631732770512372654933707145095904027312792797184
REVERSE_HOLO_TRICERATOPS;37212161450389560000442547061631731634987358798463683262493386970373610799104
REVERSE_HOLO_DILOPHOSAURUS;37212161450389560000442547061631374040090463672913648987666046881424585261056
REVERSE_HOLO_STEGOSAURUS;37212161450389560000442547061631709507110971518911728916988098457806496071680
REVERSE_HOLO_VELOCIRAPTOR;37212161450389560000442547061631775105054826017744590581467212839981267550208
REVERSE_HOLO_MAMMOTH;37212161450389560000442547061631574050236581955881011600336058975963098120192
REVERSE_HOLO_SABRETOOTH_TIGER;37212161450389560000442547061631707850971261321079025292550293084707936534528
REVERSE_HOLO_GORILLA;37212161450389560000442547061631441467033472999702718521290174583947246174208
REVERSE_HOLO_HIPPO;37212161450389560000442547061631463244433709832170612824977379079588738498560
ROSE_GOLD_T_REX_NAKED;37229809217162442700085262956264141940033131919872769422372209219896417976320
ROSE_GOLD_T_REX;37229809217162442700085262956264141907602288252748078723441897526243507568640
ROSE_GOLD_TRICERATOPS;37229809217162442700085262937213193476729297664544497652633944570998407823360
ROSE_GOLD_DILOPHOSAURUS;37229809217162442700085256937766367769478597620708316005256187556557060308992
ROSE_GOLD_STEGOSAURUS;37229809217162442700085262565969031706040602143267816798116287372719634251776
ROSE_GOLD_VELOCIRAPTOR;37229809217162442700085263666519904908840092811310902427594740063565537869824
ROSE_GOLD_MAMMOTH;37229809217162442700085260293379791387473490184211405134888872607113562554368
ROSE_GOLD_SABRETOOTH_TIGER;37229809217162442700085262538183618061874160142696640858805852250075975122944
ROSE_GOLD_GORILLA;37229809217162442700085258069002754856644152426712947258532993983591768653824
ROSE_GOLD_HIPPO;37229809217162442700085258434366902548433622102511077084792542358879764217856
GOLD_T_REX_NAKED;32254319543567511865388011384516416859014245141465107323139029793334605381632
GOLD_T_REX;32254319543567511865387975726426706269764477200070955047780059885206033661952
GOLD_TRICERATOPS;32254319543567490918648655820631811920917350363637485739810761904910260764672
GOLD_DILOPHOSAURUS;32254319543560894457103566885252161007082711770902628815602817103259032879104
GOLD_STEGOSAURUS;32254319543567082731376044994033754759953142342473576326352846783657162047488
GOLD_VELOCIRAPTOR;32254319543568292799858090502280299323727887312080704356139628245221413748736
GOLD_MAMMOTH;32254319543564583993081156103059688758601689497747245726523455577623762042880
GOLD_SABRETOOTH_TIGER;32254319543567052180990660667109064037645563564771267645581001636702748409856
GOLD_GORILLA;32254319543562138264664932535878523755374720055926997311393562178902070132736
GOLD_HIPPO;32254319543562539986793692126191477287967437303139100886913697579993627885568
SILVER_T_REX_NAKED;37671473126718135906131907585610731553159138853993413805098270451328857669632
SILVER_T_REX;37671473126718135906131907585066632283893555819204268996866529744390562250752
SILVER_TRICERATOPS;37671473126718135905812285708237015052229297287605812675618544373022454710272
SILVER_DILOPHOSAURUS;37671473126718135805158270432832117291442648199492520212591746766442839670784
SILVER_STEGOSAURUS;37671473126718135899583842217471228338710605817146505364989066560596898480128
